Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
"1779 Bayview Avenue Condos is a new condominium development by Condor Properties Ltd. & CountryWide Homes currently in pre-construction located at 1779 Bayview Avenue, Toronto in the Leaside neighbourhood with a 63/100 walk score and a 70/100 transit score. 1779 Bayview Avenue Condos is designed by IBI Group. The project is 35 storeys tall and has a total of 265 suites. 1779 Bayview Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"589 Eglinton Avenue East Condos is a new condominium development by Terracap currently in pre-construction located at 589 Eglinton Avenue East, Toronto in the Davisville Village neighbourhood with a 77/100 walk score and a 70/100 transit score. 589 Eglinton Avenue East Condos is designed by TACT Architecture Inc.. The project is 35 storeys tall and has a total of 389 suites. 589 Eglinton Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"646 Yonge Street Condos is a new condominium development by KingSett Capital currently in pre-construction located at 646 Yonge Street, Toronto in the Discovery District neighbourhood with a 97/100 walk score and a 92/100 transit score. 646 Yonge Street Condos is designed by AS + GG Architecture. The project is 75 storeys tall and has a total of 548 suites. 646 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"645 Yonge Street Condos is a new condominium development by KingSett Capital currently in pre-construction located at 645 Yonge Street, Toronto in the Church & Wellesley neighbourhood with a 98/100 walk score and a 92/100 transit score. 645 Yonge Street Condos is designed by Adrian Smith + Gordon Gill Architecture. The project is 76 storeys tall and has a total of 678 suites. 645 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"83 Bloor Street West Condos is a new condominium development by Parallax Investment Corp. currently in pre-construction located at 83 Bloor Street West, Toronto in the Yorkville neighbourhood with a 98/100 walk score and a 93/100 transit score. 83 Bloor Street West Condos is designed by IBI Group. Development is scheduled to be completed in 2028. The project is 79 storeys tall and has a total of 1118 suites. 83 Bloor Street West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"280 Viewmount Avenue Condos is a new condominium development by Altree Developments currently in pre-construction located at 280 Viewmount Avenue, Toronto in the Glen Park neighbourhood with a 40/100 walk score and a 82/100 transit score. 280 Viewmount Avenue Condos is designed by Graziani + Corazza Architects Inc.. The project is 33 storeys tall and has a total of 342 suites. 280 Viewmount Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"26 Greenbriar Road Condos is a new condominium development by Block Developments currently in pre-construction located at 26 Greenbriar Road, Toronto in the Bayview Village neighbourhood with a 34/100 walk score and a 71/100 transit score. 26 Greenbriar Road Condos is designed by RAW Design. The project is 22 storeys tall and has a total of 320 suites. 26 Greenbriar Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"25 Old York Mills Road Condos is a new condominium development by  currently in pre-construction located at 25 Old York Mills Road, Toronto in the Hoggs Hollow neighbourhood with a 57/100 walk score and a 85/100 transit score. 25 Old York Mills Road Condos is designed by IBI Group. The project is 12 storeys tall and has a total of 98 suites. 25 Old York Mills Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1830 Weston Road Condos is a new condominium development by Castlepoint Numa currently in pre-construction located at 1830 Weston Road, Toronto in the Weston neighbourhood with a 51/100 walk score and a 81/100 transit score. 1830 Weston Road Condos is designed by Studio JCI. The project is 45 storeys tall and has a total of 562 suites. 1830 Weston Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"190 Ridley Boulevard Condos is a new condominium development by Sny Development Corporation currently in pre-construction located at 190 Ridley Boulevard, Toronto in the Cricket Club neighbourhood with a 54/100 walk score and a 71/100 transit score. 190 Ridley Boulevard Condos is designed by Richard Wengle Architect Inc.. The project is 4 storeys tall and has a total of 20 suites. 190 Ridley Boulevard Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Avenue & Lawrence Condos is a new condominium development by First Capital Realty currently in pre-construction located at 284 Lawrence Avenue West, Toronto in the Bedford Park neighbourhood with a 52/100 walk score and a 74/100 transit score. Avenue & Lawrence Condos is designed by Turner Fleischer Architects. The project is 14 storeys tall and has a total of 517 suites. Avenue & Lawrence Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1647 Bathurst Street Towns is a new condominium development by Petrogold currently in pre-construction located at 1647 Bathurst Street, Toronto in the Forest Hill neighbourhood with a 27/100 walk score and a 77/100 transit score. 1647 Bathurst Street Towns is designed by Keith Loffler McAlpine Architects. The project is 4 storeys tall and has a total of 10 suites. 1647 Bathurst Street Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"120 Sheppard Avenue West Condos is a new condominium development by Hub Development Group currently in pre-construction located at 120 Sheppard Avenue West, Toronto in the Lansing-Westgate neighbourhood with a 68/100 walk score and a 87/100 transit score. 120 Sheppard Avenue West Condos is designed by Options Architects. The project is 7 storeys tall and has a total of 30 suites. 120 Sheppard Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"145 Sheppard Avenue East Condos is a new condominium development by Tilzen Holdings Limited currently under construction located at 145 Sheppard Avenue East, Toronto in the Willowdale neighbourhood with a 54/100 walk score and a 83/100 transit score. 145 Sheppard Avenue East Condos is designed by Graziani + Corazza Architects Inc.. The project is 11 storeys tall and has a total of 55 suites. 145 Sheppard Avenue East Condos is currently in Registration Phase.",Under Construction,Yes,-,Yes,-,Condo,
"339 Symington Avenue Condos is a new condominium development by European Bakery Supply Inc currently in pre-construction located at 339 Symington Avenue, Toronto in the The Junction neighbourhood with a 73/100 walk score and a 74/100 transit score. 339 Symington Avenue Condos is designed by TACT Architecture Inc.. The project is 39 storeys tall and has a total of 817 suites. 339 Symington Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"323 Symington Avenue Condos is a new condominium development by  currently in pre-construction located at 323 Symington Avenue, Toronto in the The Junction neighbourhood with a 75/100 walk score and a 75/100 transit score. 323 Symington Avenue Condos is designed by TACT Architecture Inc.. The project is 39 storeys tall and has a total of 817 suites. 323 Symington Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"155 Wychwood Avenue Condos by Sinocoin Capital is a new condominium development by Sinocoin Capital currently in pre-construction located at 155 Wychwood Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 78/100 walk score and a 85/100 transit score. 155 Wychwood Avenue Condos by Sinocoin Capital is designed by RAW Design. The project is 8 storeys tall and has a total of 39 suites. 155 Wychwood Avenue Condos by Sinocoin Capital is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"835 Yonge Street Condos is a new condominium development by Canadian Tire Corporation currently in pre-construction located at 835 Yonge Street, Toronto in the Yorkville neighbourhood with a 90/100 walk score and a 90/100 transit score. 835 Yonge Street Condos is designed by Adamson Associates Architects. The project is 49 storeys tall and has a total of 950 suites. 835 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"3309 Dufferin Street Condos is a new condominium development by Dash Developments Inc currently in pre-construction located at 3309 Dufferin Street, Toronto in the Lawrence Heights neighbourhood with a 64/100 walk score and a 85/100 transit score. 3309 Dufferin Street Condos is designed by Giovanni Tassone Architect Inc.. The project is 10 storeys tall and has a total of 148 suites. 3309 Dufferin Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1366 Yonge Street Condos is a new condominium development by Bazis Inc currently in pre-construction located at 1366 Yonge Street, Toronto in the Summerhill neighbourhood with a 92/100 walk score and a 84/100 transit score. 1366 Yonge Street Condos is designed by Rosario Varacalli. The project is 41 storeys tall and has a total of 489 suites. 1366 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"77 Erskine Avenue Condos is a new condominium development by Fora Developments currently in pre-construction located at 77 Erskine Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 93/100 walk score and a 87/100 transit score. 77 Erskine Avenue Condos is designed by gh3*. The project is 35 storeys tall and has a total of 341 suites. 77 Erskine Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"10 Huntley Street Condos is a new condominium development by Glen Corporation currently in pre-construction located at 10 Huntley Street, Toronto in the Cabbagetown neighbourhood with a 95/100 walk score and a 89/100 transit score. 10 Huntley Street Condos is designed by IBI Group. The project is 45 storeys tall and has a total of 334 suites. 10 Huntley Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1220 Yonge Street Condos is a new condominium development by Trinity Point Developments currently in pre-construction located at 1220 Yonge Street, Toronto in the Summerhill neighbourhood with a 89/100 walk score and a 86/100 transit score. 1220 Yonge Street Condos is designed by BBB Architects. The project is 22 storeys tall and has a total of 185 suites. 1220 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"775 Vaughan Road Condos is a new condominium development by Shannondale Developments currently in pre-construction located at 775 Vaughan Road, Toronto in the Cedarvale-Oakwood Vaughan neighbourhood with a 78/100 walk score and a 80/100 transit score. 775 Vaughan Road Condos is designed by Studio JCI. The project is 36 storeys tall and has a total of 469 suites. 775 Vaughan Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
